RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000101,人事費,0,,0,,0,,0,,9.46973E+09,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000101,人事費,0,,0,,0,,0,,8797661,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000102,經常支出_其他,0,,0,,0,,0,,5.16106E+08,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000102,經常支出_其他,0,,0,,0,,0,,1.088348E+07,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,2300400002,資本支出,0,,0,,0,,0,,3.54807E+08,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a005,國民中學教育經費支出(預、決算數)-預算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,0,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000101,人事費,0,,0,,0,,0,,7.790496E+09,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000101,人事費,0,,0,,0,,0,,8157647,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,230040000102,經常支出_其他,0,,0,,0,,0,,2.667253E+08,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,230040000102,經常支出_其他,0,,0,,0,,0,,1.033594E+07,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100001,公立,2300400002,資本支出,0,,0,,0,,0,,2.254793E+08,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
10440-01-03-2,臺中市國民中學教育經費支出(預、決算數),1044001a006,國民中學教育經費支出(預、決算數)-決算數(單位:元),2016/1/1 上午 12:00:00,010000066000,臺中市,Y,年,2300100002,私立,2300400002,資本支出,0,,0,,0,,0,,1.716096E+07,,387040000E,教育局,2017/2/6 上午 11:10:12,2017/2/9 上午 08:20:16
